signal,angle,auroc_help[qwen3_8b],auroc_help[qwen3_14b],auroc_help[qwen35_9b],auroc_help[qwen25_7b],auroc_help[glm4_9b],auroc_help[phi35_mini],auroc_help[mistral_7b],spear_lift[qwen3_8b],spear_lift[qwen3_14b],spear_lift[qwen35_9b],spear_lift[qwen25_7b],spear_lift[glm4_9b],spear_lift[phi35_mini],spear_lift[mistral_7b],same_direction,strong_all_ge_0.07,mean_|auroc-.5|,min_|auroc-.5|
first_tok_agree,agreement,0.478,0.308,0.559,0.545,0.573,0.503,0.604,-0.186,-0.088,-0.093,0.195,0.280,0.015,-0.357,0,0,0.071,0.003
ll_entropy_w_l::max,confidence,0.431,0.497,0.585,0.384,0.440,0.584,0.637,0.000,0.409,-0.094,0.013,-0.291,0.064,-0.215,0,0,0.079,0.003
mem_attn_layer_profile,attention,0.446,0.498,0.591,0.574,0.562,0.590,0.285,-0.014,0.423,0.081,0.268,0.076,0.018,0.332,0,0,0.084,0.002
ll_argmax_agree_final_l::mean,agreement,0.574,0.377,0.540,0.581,0.502,0.697,0.441,0.071,0.134,-0.037,0.055,0.230,-0.058,-0.061,0,0,0.082,0.002
ll_entropy_w_l::early,confidence,0.513,0.484,0.511,0.533,0.502,0.283,0.708,-0.053,-0.036,0.033,-0.068,0.001,-0.105,-0.293,0,0,0.071,0.002
ll_conf_w_l::max,confidence,0.596,0.565,0.623,0.553,0.498,0.663,0.496,-0.132,0.249,-0.024,-0.149,0.120,-0.104,-0.103,0,0,0.072,0.002
mem_dose_nonmono,causal,0.481,0.573,0.499,0.496,0.517,0.399,0.531,0.081,-0.271,0.010,-0.028,-0.030,-0.032,0.077,0,0,0.035,0.001
seq_logprob,confidence,0.653,0.609,0.641,0.559,0.499,0.683,0.424,0.027,-0.101,-0.043,0.329,0.003,-0.057,-0.081,0,0,0.103,0.001
ll_entropy_w_l::mid,confidence,0.537,0.630,0.621,0.512,0.501,0.353,0.578,0.076,-0.279,0.025,0.212,-0.059,-0.038,-0.136,0,0,0.075,0.001
drift_l::late,geometry,0.385,0.499,0.496,0.392,0.479,0.558,0.526,0.176,0.281,-0.164,-0.046,-0.154,0.053,0.085,0,0,0.048,0.001
ll_argmax_agree_final_l::late,agreement,0.578,0.377,0.541,0.581,0.501,0.697,0.441,0.069,0.134,-0.036,0.055,0.227,-0.058,-0.062,0,0,0.083,0.001
ll_argmax_agree_final_l::slope,agreement,0.578,0.377,0.541,0.581,0.501,0.697,0.441,0.069,0.134,-0.036,0.055,0.227,-0.058,-0.062,0,0,0.083,0.001
ll_conf_w_l::min,confidence,0.612,0.567,0.412,0.521,0.476,0.549,0.501,0.121,0.480,0.199,0.018,0.116,-0.163,0.046,0,0,0.052,0.001
drift_l::slope,geometry,0.399,0.515,0.501,0.422,0.381,0.399,0.325,0.152,0.349,-0.198,-0.143,-0.390,-0.067,0.193,0,0,0.084,0.001
slot_active_frac,geometry,0.434,0.479,0.516,0.500,0.445,0.478,0.587,0.177,-0.308,-0.046,-0.237,-0.162,-0.059,-0.023,0,0,0.038,0.000
ll_argmax_agree_final_l::mid,agreement,0.519,0.500,0.498,0.500,0.506,0.493,0.495,0.021,,-0.030,,0.098,0.024,0.010,0,0,0.005,0.000
ll_kl_wb_l::min,divergence,0.500,0.500,0.500,0.500,0.500,0.500,0.500,-0.007,,,,,,,0,0,0.000,0.000
ll_margin_w_l::min,confidence,0.496,0.518,0.502,0.500,0.475,0.528,0.490,0.001,-0.001,0.006,,-0.007,0.067,0.001,0,0,0.012,0.000
