method,dataset,config,relation,n,no_ctx,compressed,fallback_full,best,cost_comp,cost_full
gcm,quality,N16_K128,cross_task_cross_domain,288,0.143,0.002,0.261,0.262,163,651
gcm,quality,N16_K64,overall,384,0.172,0.137,0.233,0.28,112,766
gcm,quality,N16_K64,in_task,96,0.26,0.24,0.146,0.271,152,1112
gcm,quality,N16_K64,cross_task_cross_domain,288,0.143,0.103,0.262,0.283,99,651
gcm,quality,N24_K64,overall,384,0.172,0.141,0.233,0.269,112,766
gcm,quality,N24_K64,in_task,96,0.26,0.208,0.146,0.229,152,1112
gcm,quality,N24_K64,cross_task_cross_domain,288,0.143,0.119,0.262,0.282,99,651
gcm,quality,N8_K128,overall,384,0.172,0.122,0.233,0.278,176,766
gcm,quality,N8_K128,in_task,96,0.26,0.25,0.146,0.281,216,1112
gcm,quality,N8_K128,cross_task_cross_domain,288,0.143,0.079,0.262,0.277,163,651
gcm,quality,N8_K64,overall,384,0.173,0.049,0.232,0.256,112,766
gcm,quality,N8_K64,in_task,96,0.26,0.198,0.146,0.24,152,1112
gcm,quality,N8_K64,cross_task_cross_domain,288,0.143,0.0,0.261,0.261,99,651
gcm,squad_v2,N12_K128,overall,384,0.173,0.07,0.232,0.265,176,766
gcm,squad_v2,N12_K128,in_task,96,0.132,0.034,0.367,0.369,157,207
gcm,squad_v2,N12_K128,cross_task_in_domain,192,0.149,0.035,0.208,0.216,166,873
gcm,squad_v2,N12_K128,cross_task_cross_domain,96,0.26,0.177,0.146,0.26,216,1112
gcm,squad_v2,N12_K64,overall,384,0.172,0.189,0.233,0.302,112,766
gcm,squad_v2,N12_K64,in_task,96,0.134,0.129,0.367,0.377,93,207
gcm,squad_v2,N12_K64,cross_task_in_domain,192,0.148,0.205,0.209,0.291,102,873
gcm,squad_v2,N12_K64,cross_task_cross_domain,96,0.26,0.219,0.146,0.25,152,1112
gcm,squad_v2,N16_K128,overall,384,0.172,0.15,0.233,0.282,176,766
gcm,squad_v2,N16_K128,in_task,96,0.134,0.106,0.367,0.372,157,207
gcm,squad_v2,N16_K128,cross_task_in_domain,192,0.148,0.152,0.209,0.253,166,873
gcm,squad_v2,N16_K128,cross_task_cross_domain,96,0.26,0.188,0.146,0.25,216,1112
gcm,squad_v2,N16_K64,overall,384,0.172,0.169,0.233,0.294,112,766
gcm,squad_v2,N16_K64,in_task,96,0.134,0.127,0.367,0.379,93,207
gcm,squad_v2,N16_K64,cross_task_in_domain,192,0.148,0.156,0.209,0.264,102,873
