signal,angle,hotpot_qa,musr_mm,quality,ruler_niah,trivia_qa
ll_conf_w_l@22,confidence,0.1160,0.0046,-0.0837,,-0.0176
ll_conf_w_l@23,confidence,0.1702,-0.0030,-0.0100,,-0.0725
ll_conf_w_l@24,confidence,0.1243,-0.0166,0.0412,,-0.1635
ll_conf_w_l@25,confidence,0.0894,0.0113,0.0622,,0.0583
ll_conf_w_l@26,confidence,0.0429,0.0176,-0.0358,,-0.0813
ll_conf_w_l@27,confidence,0.0450,0.0090,0.0156,,0.0523
ll_conf_w_l@28,confidence,0.0436,0.0097,0.0441,,0.0678
ll_conf_w_l@29,confidence,0.0596,-0.0120,0.0287,,0.1099
ll_conf_w_l@3,confidence,0.0023,-0.0074,0.0223,,-0.0718
ll_conf_w_l@30,confidence,0.0098,-0.0050,-0.0929,,0.2049
ll_conf_w_l@31,confidence,0.0593,0.0154,0.0021,,0.2172
ll_conf_w_l@32,confidence,0.0755,0.0319,-0.0350,,0.2257
ll_conf_w_l@33,confidence,0.1646,0.0213,0.0151,,0.2413
ll_conf_w_l@34,confidence,0.2027,0.0073,-0.0450,,0.2167
ll_conf_w_l@35,confidence,0.1810,-0.0013,-0.0499,,0.2243
ll_conf_w_l@36,confidence,0.1219,0.0221,0.0105,,0.1584
ll_conf_w_l@4,confidence,0.0419,0.0099,0.0606,,-0.1233
ll_conf_w_l@5,confidence,-0.0516,-0.0041,-0.0262,,-0.0195
ll_conf_w_l@6,confidence,0.0032,-0.0100,-0.1033,,-0.0392
ll_conf_w_l@7,confidence,0.0884,-0.0010,-0.0342,,0.0747
ll_conf_w_l@8,confidence,-0.0500,-0.0195,-0.1089,,0.0651
ll_conf_w_l@9,confidence,-0.0397,0.0066,-0.0514,,0.0557
ll_entropy_w_l::early,confidence,-0.0346,0.0169,-0.0011,,-0.0058
ll_entropy_w_l::late,confidence,-0.1932,-0.0184,-0.0133,,-0.2935
ll_entropy_w_l::max,confidence,0.0137,-0.0079,0.0287,,0.0432
ll_entropy_w_l::mean,confidence,-0.2049,-0.0054,0.0128,,-0.1492
ll_entropy_w_l::mid,confidence,-0.1474,0.0159,0.0368,,0.1107
ll_entropy_w_l::min,confidence,-0.1790,-0.0102,0.0546,,-0.2957
ll_entropy_w_l::slope,confidence,-0.1653,-0.0287,-0.0184,,-0.2699
ll_entropy_w_l@0,confidence,,,,,
ll_entropy_w_l@1,confidence,-0.0089,0.0346,-0.0514,,-0.0266
ll_entropy_w_l@10,confidence,-0.0611,-0.0011,0.0251,,-0.0461
ll_entropy_w_l@11,confidence,-0.0561,-0.0089,0.0021,,0.0003
ll_entropy_w_l@12,confidence,-0.0204,0.0129,-0.0001,,0.0668
ll_entropy_w_l@13,confidence,-0.0142,-0.0135,0.0505,,0.0359
ll_entropy_w_l@14,confidence,-0.0368,-0.0084,-0.0171,,0.0457
ll_entropy_w_l@15,confidence,0.0179,-0.0277,0.0291,,-0.0250
ll_entropy_w_l@16,confidence,-0.0418,-0.0049,0.0525,,-0.1136
ll_entropy_w_l@17,confidence,-0.0215,-0.0113,0.0379,,-0.1037
ll_entropy_w_l@18,confidence,-0.0862,-0.0117,0.0277,,0.0073
ll_entropy_w_l@19,confidence,-0.0874,0.0175,0.0122,,0.0516
ll_entropy_w_l@2,confidence,0.0138,0.0149,-0.0586,,0.0013
ll_entropy_w_l@20,confidence,0.0198,0.0153,0.0098,,0.0186
ll_entropy_w_l@21,confidence,-0.0893,0.0229,0.0274,,0.0217
ll_entropy_w_l@22,confidence,-0.1358,-0.0043,0.0660,,0.0543
ll_entropy_w_l@23,confidence,-0.1840,-0.0050,-0.0220,,0.1287
ll_entropy_w_l@24,confidence,-0.1413,-0.0003,-0.0564,,0.1938
ll_entropy_w_l@25,confidence,-0.1380,-0.0062,-0.0918,,-0.0686
ll_entropy_w_l@26,confidence,-0.0815,-0.0040,0.0066,,0.0697
ll_entropy_w_l@27,confidence,-0.0860,-0.0169,-0.0135,,-0.1047
ll_entropy_w_l@28,confidence,-0.0811,-0.0135,-0.0374,,-0.1284
ll_entropy_w_l@29,confidence,-0.0671,0.0096,-0.0101,,-0.1658
ll_entropy_w_l@3,confidence,-0.0238,0.0071,-0.0227,,0.0583
ll_entropy_w_l@30,confidence,-0.0638,0.0070,0.1153,,-0.2550
ll_entropy_w_l@31,confidence,-0.0955,-0.0060,-0.0076,,-0.2637
ll_entropy_w_l@32,confidence,-0.1248,-0.0240,0.0205,,-0.2711
ll_entropy_w_l@33,confidence,-0.2116,-0.0216,-0.0238,,-0.3101
ll_entropy_w_l@34,confidence,-0.2530,-0.0030,0.0377,,-0.2998
ll_entropy_w_l@35,confidence,-0.2428,0.0119,0.0284,,-0.2978
ll_entropy_w_l@36,confidence,-0.1990,-0.0243,-0.0304,,-0.1899
ll_entropy_w_l@4,confidence,-0.0204,-0.0063,-0.0622,,0.1006
ll_entropy_w_l@5,confidence,-0.0258,-0.0157,0.0038,,0.0229
ll_entropy_w_l@6,confidence,0.0176,-0.0079,0.0287,,0.0400
ll_entropy_w_l@7,confidence,-0.0697,-0.0145,0.0484,,-0.1039
ll_entropy_w_l@8,confidence,-0.0054,0.0326,0.1069,,-0.0563
ll_entropy_w_l@9,confidence,-0.0174,0.0033,0.0245,,-0.0927
ll_kl_wb_l::early,divergence,0.0220,-0.0148,-0.0257,,0.0241
ll_kl_wb_l::late,divergence,-0.1453,-0.0161,-0.0084,,-0.3475
ll_kl_wb_l::max,divergence,-0.0655,-0.0172,-0.0225,,-0.2527
ll_kl_wb_l::mean,divergence,-0.1121,-0.0233,-0.0111,,-0.2330
ll_kl_wb_l::mid,divergence,-0.0819,-0.0240,0.0319,,-0.1161
ll_kl_wb_l::min,divergence,,,,,
ll_kl_wb_l::slope,divergence,-0.1396,-0.0036,0.0142,,-0.3109
ll_kl_wb_l@0,divergence,,,,,
ll_kl_wb_l@1,divergence,0.0072,-0.0061,-0.0710,,0.0908
ll_kl_wb_l@10,divergence,0.0231,-0.0170,-0.0146,,0.0070
ll_kl_wb_l@11,divergence,0.0213,-0.0194,0.0121,,0.0026
ll_kl_wb_l@12,divergence,0.0127,-0.0278,0.0198,,-0.0296
ll_kl_wb_l@13,divergence,-0.0407,-0.0240,0.0409,,-0.0444
ll_kl_wb_l@14,divergence,-0.0235,-0.0160,0.0463,,-0.0311
ll_kl_wb_l@15,divergence,-0.0470,-0.0267,0.0410,,-0.0497
ll_kl_wb_l@16,divergence,-0.0572,-0.0241,0.0431,,-0.0750
ll_kl_wb_l@17,divergence,-0.0620,-0.0218,0.0958,,-0.1039
ll_kl_wb_l@18,divergence,-0.0649,-0.0165,0.0410,,-0.1137
ll_kl_wb_l@19,divergence,-0.0672,-0.0213,0.0424,,-0.1157
ll_kl_wb_l@2,divergence,0.0004,-0.0110,-0.0595,,0.0819
ll_kl_wb_l@20,divergence,-0.0698,-0.0213,0.0019,,-0.1175
ll_kl_wb_l@21,divergence,-0.0759,-0.0351,0.0319,,-0.1299
ll_kl_wb_l@22,divergence,-0.0871,-0.0190,0.0288,,-0.1373
ll_kl_wb_l@23,divergence,-0.1122,-0.0211,0.0144,,-0.1486
ll_kl_wb_l@24,divergence,-0.1159,-0.0151,0.0014,,-0.0698
ll_kl_wb_l@25,divergence,-0.1425,-0.0134,-0.0246,,-0.2101
ll_kl_wb_l@26,divergence,-0.1305,-0.0117,0.0070,,-0.1569
ll_kl_wb_l@27,divergence,-0.1579,-0.0063,0.0334,,-0.2198
ll_kl_wb_l@28,divergence,-0.1383,-0.0078,0.0130,,-0.2590
ll_kl_wb_l@29,divergence,-0.1479,-0.0105,-0.0049,,-0.2806
ll_kl_wb_l@3,divergence,0.0105,-0.0042,-0.0663,,0.0763
ll_kl_wb_l@30,divergence,-0.1175,0.0058,0.0654,,-0.2952
ll_kl_wb_l@31,divergence,-0.1275,-0.0188,-0.0094,,-0.2874
ll_kl_wb_l@32,divergence,-0.1435,-0.0111,0.0451,,-0.3289
ll_kl_wb_l@33,divergence,-0.1824,-0.0129,0.0282,,-0.3697
ll_kl_wb_l@34,divergence,-0.2103,-0.0095,0.0708,,-0.3956
ll_kl_wb_l@35,divergence,-0.1896,-0.0096,0.0594,,-0.3297
ll_kl_wb_l@36,divergence,-0.0925,-0.0090,-0.0189,,-0.1755
ll_kl_wb_l@4,divergence,0.0287,-0.0113,-0.0664,,0.0978
ll_kl_wb_l@5,divergence,0.0228,-0.0087,-0.0359,,0.0788
ll_kl_wb_l@6,divergence,0.0212,-0.0089,-0.0501,,0.0662
ll_kl_wb_l@7,divergence,0.0347,-0.0089,-0.0586,,0.0779
ll_kl_wb_l@8,divergence,0.0168,-0.0094,-0.0114,,0.0202
ll_kl_wb_l@9,divergence,0.0163,-0.0181,-0.0197,,0.0153
ll_margin_w_l::early,confidence,0.0120,0.0021,-0.0326,,-0.0122
ll_margin_w_l::late,confidence,0.1253,0.0160,-0.0414,,0.2382
ll_margin_w_l::max,confidence,0.1250,0.0056,-0.0563,,0.2452
ll_margin_w_l::mean,confidence,0.1558,0.0207,-0.0731,,0.2267
ll_margin_w_l::mid,confidence,0.1406,-0.0050,-0.0920,,-0.0163
ll_margin_w_l::min,confidence,0.0282,0.0318,-0.0054,,-0.0346
ll_margin_w_l::slope,confidence,0.1248,0.0170,-0.0383,,0.2382
ll_margin_w_l@0,confidence,,,,,
ll_margin_w_l@1,confidence,0.0212,-0.0168,-0.0064,,-0.0269
ll_margin_w_l@10,confidence,0.0043,0.0246,0.0112,,0.0345
ll_margin_w_l@11,confidence,0.0463,-0.0004,0.0258,,0.0431
ll_margin_w_l@12,confidence,0.0067,0.0280,0.0085,,-0.0305
ll_margin_w_l@13,confidence,0.0174,0.0143,-0.0111,,0.0149
ll_margin_w_l@14,confidence,0.0518,-0.0000,-0.0053,,-0.0219
ll_margin_w_l@15,confidence,-0.0177,0.0258,-0.0659,,-0.0045
ll_margin_w_l@16,confidence,0.0380,0.0039,-0.0284,,0.1180
ll_margin_w_l@17,confidence,0.0428,0.0061,0.0388,,0.1335
ll_margin_w_l@18,confidence,0.0964,0.0151,-0.0056,,-0.0111
ll_margin_w_l@19,confidence,0.0474,0.0012,-0.0744,,-0.0379
ll_margin_w_l@2,confidence,0.0113,-0.0211,0.0476,,0.0559
ll_margin_w_l@20,confidence,0.0063,-0.0153,-0.0632,,-0.0063
ll_margin_w_l@21,confidence,0.0524,0.0024,-0.0657,,0.0332
ll_margin_w_l@22,confidence,0.0853,0.0182,-0.0763,,0.0120
ll_margin_w_l@23,confidence,0.1362,-0.0009,-0.0331,,-0.0121
ll_margin_w_l@24,confidence,0.0917,0.0004,0.0121,,-0.0992
ll_margin_w_l@25,confidence,0.0541,0.0166,0.0024,,0.0541
ll_margin_w_l@26,confidence,0.0187,0.0190,-0.0327,,-0.0592
ll_margin_w_l@27,confidence,0.0049,0.0091,0.0088,,0.0226
ll_margin_w_l@28,confidence,0.0086,0.0077,0.0420,,0.0447
ll_margin_w_l@29,confidence,0.0396,-0.0198,0.0325,,0.0788
ll_margin_w_l@3,confidence,-0.0128,0.0004,0.0451,,-0.0745
ll_margin_w_l@30,confidence,-0.0285,-0.0020,-0.0806,,0.1662
ll_margin_w_l@31,confidence,0.0307,0.0154,-0.0108,,0.1847
ll_margin_w_l@32,confidence,0.0479,0.0345,-0.0409,,0.1904
ll_margin_w_l@33,confidence,0.1154,0.0206,0.0260,,0.1905
ll_margin_w_l@34,confidence,0.1619,0.0079,-0.0459,,0.1647
ll_margin_w_l@35,confidence,0.1343,-0.0036,-0.0526,,0.1838
ll_margin_w_l@36,confidence,0.0692,0.0105,0.0122,,0.1315
ll_margin_w_l@4,confidence,0.0458,0.0240,0.0448,,-0.0934
ll_margin_w_l@5,confidence,-0.0308,-0.0347,-0.0048,,0.0256
ll_margin_w_l@6,confidence,0.0160,-0.0113,-0.0799,,-0.0137
ll_margin_w_l@7,confidence,0.0932,-0.0340,-0.0322,,0.0469
ll_margin_w_l@8,confidence,-0.0427,-0.0110,-0.0905,,0.0609
ll_margin_w_l@9,confidence,-0.0668,0.0145,-0.0504,,0.0258
margin_0,confidence,0.2514,0.0110,-0.0656,,0.3142
margin_w,confidence,0.1045,0.0151,-0.1078,,0.2023
mem_influence_argmax_change,agreement,-0.0891,0.0019,0.0264,,-0.1430
mem_influence_kl,divergence,-0.1449,-0.0177,0.1041,,-0.2795
perplexity,confidence,-0.0719,-0.0038,0.0281,,-0.0233
q_chunk_max_cos,geometry,-0.0882,-0.0945,0.2203,,-0.0490
q_chunk_mean_cos,geometry,-0.0136,-0.1462,0.2016,,0.0189
q_chunk_spread,geometry,-0.0715,0.0560,-0.0401,,-0.0496
seq_logprob,confidence,0.1890,0.0126,0.0238,,0.3573
slot_active_frac,geometry,0.0069,-0.0042,-0.0336,,0.0678
slot_norm_max,geometry,-0.0329,-0.0001,-0.0082,,0.0481
slot_norm_mean,geometry,-0.0259,-0.0007,-0.0139,,0.0527
slot_norm_std,geometry,-0.0832,0.0455,0.0557,,-0.0336
span_conf_mean,confidence,0.1403,0.0028,-0.1093,,0.1768
span_entropy_last,confidence,-0.0546,-0.0036,0.1183,,-0.0302
span_entropy_mean,confidence,-0.2029,0.0062,0.1158,,-0.2435
span_entropy_min,confidence,-0.0502,0.0179,0.1176,,0.1386
top5_mass_w,confidence,0.3163,-0.0086,-0.0962,,0.4273
tv_w0,divergence,-0.1836,-0.0118,0.0829,,-0.2988
